id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
58,2014-08-01,,One year,Yes,Electronic check,108.45,7076.35,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,
59,2017-04-01,,Two year,No,Credit card (automatic),24.95,894.3,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,
60,2014-02-01,,Two year,Yes,Credit card (automatic),107.5,7853.7,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,
61,2016-03-01,,Month-to-month,Yes,Electronic check,100.5,4707.1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,
62,2015-02-01,,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,No,Yes,
63,2014-02-01,,Two year,No,Bank transfer (automatic),42.1,2962.0,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,No,No,
64,2018-08-01,,One year,Yes,Credit card (automatic),54.4,957.1,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,
65,2019-04-01,2020-01-01,Month-to-month,No,Electronic check,94.4,857.25,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,
66,2019-11-01,,Month-to-month,Yes,Electronic check,75.3,244.1,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,No,No,No,
67,2016-03-01,,One year,Yes,Electronic check,78.9,3650.35,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,
68,2017-07-01,,Two year,No,Mailed check,79.2,2497.2,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,
69,2015-12-01,,Two year,No,Bank transfer (automatic),20.15,930.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
70,2019-04-01,,Month-to-month,Yes,Mailed check,79.85,887.35,Fiber optic,Yes,No,Yes,No,No,No,Male,0,No,No,No,
71,2020-01-01,,Month-to-month,No,Mailed check,49.05,49.05,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,
72,2015-10-01,,One year,Yes,Electronic check,20.4,1090.65,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
73,2014-10-01,,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,
74,2014-12-01,,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,
75,2019-11-01,,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,Yes,No,
76,2015-06-01,,One year,No,Electronic check,110.5,6139.5,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,
77,2016-04-01,,One year,No,Credit card (automatic),55.65,2688.85,DSL,No,No,No,No,No,Yes,Female,0,No,No,No,
78,2019-06-01,,Month-to-month,No,Mailed check,54.65,482.25,DSL,Yes,Yes,No,No,No,No,Female,0,Yes,Yes,No,
79,2017-08-01,,Month-to-month,Yes,Electronic check,74.75,2111.3,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,
80,2016-05-01,,One year,Yes,Credit card (automatic),25.9,1216.6,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,
81,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,79.35,79.35,Fiber optic,No,No,No,No,Yes,No,Female,0,No,Yes,No,
82,2019-03-01,,Month-to-month,No,Electronic check,50.55,565.35,DSL,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,No,
83,2019-03-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,No,
84,2016-08-01,,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,
85,2016-01-01,,Two year,Yes,Bank transfer (automatic),20.15,973.35,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,
86,2019-05-01,,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,Yes,
87,2017-03-01,,One year,Yes,Bank transfer (automatic),62.15,2215.45,DSL,Yes,No,No,No,Yes,No,Female,0,Yes,No,No,
88,2016-02-01,,Two year,No,Bank transfer (automatic),20.65,1057.0,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
89,2016-04-01,,Two year,Yes,Mailed check,19.95,927.1,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
90,2017-09-01,,Month-to-month,No,Mailed check,33.75,1009.25,DSL,No,No,No,No,Yes,No,Male,0,Yes,No,No,
91,2017-08-01,,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,
92,2020-01-01,,Month-to-month,No,Electronic check,74.7,74.7,Fiber optic,No,No,No,Yes,No,No,Male,1,No,No,No,
93,2014-08-01,,Two year,Yes,Mailed check,84.0,5714.25,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,
94,2014-09-01,,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,
95,2014-02-01,,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,
96,2018-12-01,2019-12-01,Month-to-month,Yes,Electronic check,78.95,927.35,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,Yes,
97,2014-03-01,,One year,Yes,Credit card (automatic),66.85,4748.7,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,
98,2019-06-01,2019-11-01,Month-to-month,No,Mailed check,21.05,113.85,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
99,2015-10-01,,Two year,No,Bank transfer (automatic),21.0,1107.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
100,2017-12-01,2020-01-01,Month-to-month,Yes,Electronic check,98.5,2514.5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,No,
101,2020-01-01,,Month-to-month,No,Electronic check,19.45,19.45,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
102,2016-12-01,,One year,No,Bank transfer (automatic),95.0,3605.6,Fiber optic,No,No,Yes,Yes,Yes,No,Male,0,No,No,Yes,
103,2014-08-01,,One year,No,Bank transfer (automatic),45.55,3027.25,DSL,No,Yes,Yes,No,Yes,No,Female,1,Yes,No,No,
104,2014-03-01,2019-11-01,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,
105,2019-09-01,,Month-to-month,No,Mailed check,24.3,100.2,DSL,No,No,No,No,No,No,Male,0,No,No,No,
106,2014-02-01,,One year,Yes,Electronic check,104.15,7303.05,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,
107,2017-06-01,,One year,No,Mailed check,30.15,927.65,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,
108,2016-07-01,,One year,No,Mailed check,94.35,3921.3,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,
109,2014-02-01,,Two year,No,Credit card (automatic),19.4,1363.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,
110,2015-05-01,2019-12-01,Month-to-month,Yes,Electronic check,96.75,5238.9,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,
111,2015-10-01,,One year,No,Credit card (automatic),57.95,3042.25,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,
112,2016-07-01,,Month-to-month,Yes,Electronic check,91.65,3954.1,Fiber optic,No,Yes,Yes,No,Yes,No,Female,0,No,No,No,
113,2016-10-01,2019-11-01,Month-to-month,Yes,Electronic check,76.5,2868.15,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,Yes,
114,2014-10-01,,Two year,Yes,Electronic check,54.6,3423.5,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,
115,2019-11-01,,Month-to-month,No,Electronic check,89.85,248.4,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,Yes,No,
116,2017-02-01,,Two year,No,Bank transfer (automatic),31.05,1126.35,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,
117,2019-02-01,2019-12-01,Month-to-month,Yes,Electronic check,100.25,1064.65,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,
118,2016-09-01,,Two year,No,Mailed check,20.65,835.15,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
119,2017-11-01,,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,Fiber optic,No,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,
120,2015-06-01,,One year,Yes,Credit card (automatic),99.8,5515.45,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,
121,2019-08-01,,Month-to-month,No,Mailed check,20.7,112.75,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
122,2019-09-01,2019-12-01,Month-to-month,Yes,Electronic check,74.4,229.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,
123,2019-07-01,,Month-to-month,No,Mailed check,50.7,350.35,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,
124,2019-10-01,,Month-to-month,No,Mailed check,20.85,62.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
125,2017-05-01,,Two year,Yes,Electronic check,88.95,3027.65,Fiber optic,Yes,No,No,Yes,Yes,No,Male,0,No,No,No,
126,2017-10-01,2020-01-01,Month-to-month,Yes,Electronic check,78.05,2135.5,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,Yes,
127,2014-02-01,,Two year,Yes,Bank transfer (automatic),23.55,1723.95,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,
128,2020-01-01,,Month-to-month,No,Mailed check,19.75,19.75,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
129,2014-03-01,,One year,Yes,Electronic check,56.45,3985.35,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,
130,2019-01-01,,Month-to-month,Yes,Electronic check,85.95,1215.65,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,
131,2017-12-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,DSL,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,
132,2014-07-01,,Two year,No,Bank transfer (automatic),50.55,3260.1,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,
133,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,35.45,35.45,DSL,No,No,No,No,No,Yes,Male,0,No,No,No,
134,2019-11-01,2020-01-01,Month-to-month,No,Electronic check,44.35,81.25,DSL,No,No,No,No,No,No,Male,0,No,No,No,
135,2016-07-01,,Two year,Yes,Credit card (automatic),25.7,1188.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,
136,2018-03-01,,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,No,
137,2014-10-01,,Two year,No,Mailed check,20.2,1277.75,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
138,2015-05-01,,Two year,Yes,Mailed check,19.6,1170.55,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,
139,2019-10-01,2019-11-01,Month-to-month,Yes,Mailed check,70.45,70.45,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,
140,2014-02-01,,Two year,Yes,Credit card (automatic),88.05,6425.65,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,Yes,Yes,
141,2019-02-01,2019-10-01,Month-to-month,No,Electronic check,71.15,563.65,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,No,Yes,
142,2015-01-01,,Two year,Yes,Bank transfer (automatic),101.05,5971.25,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,
143,2014-10-01,,One year,Yes,Credit card (automatic),84.3,5289.05,Fiber optic,Yes,Yes,No,No,No,No,Male,0,No,No,Yes,
144,2014-03-01,,Two year,No,Bank transfer (automatic),23.95,1756.2,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,
145,2014-09-01,,Two year,Yes,Credit card (automatic),99.05,6416.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,
146,2019-11-01,,One year,No,Mailed check,19.6,61.35,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
147,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,45.65,45.65,DSL,No,No,No,No,No,No,Male,0,No,No,No,
148,2017-08-01,,One year,No,Credit card (automatic),64.5,1929.95,DSL,No,Yes,Yes,No,Yes,No,Male,0,No,Yes,No,
149,2018-11-01,,Month-to-month,Yes,Mailed check,69.5,1071.4,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,No,
150,2019-06-01,,Month-to-month,Yes,Electronic check,68.55,564.35,DSL,No,No,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,
151,2019-06-01,2020-01-01,Month-to-month,No,Mailed check,95.0,655.5,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,
152,2014-04-01,,One year,Yes,Credit card (automatic),108.15,7930.55,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,
153,2014-12-01,,Two year,No,Electronic check,86.1,5215.25,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,
154,2019-08-01,,Month-to-month,No,Mailed check,19.7,113.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
155,2018-12-01,,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,
156,2018-04-01,,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,Yes,
157,2018-04-01,,One year,No,Mailed check,20.15,419.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,
158,2018-10-01,,Two year,No,Mailed check,64.25,1024.0,DSL,Yes,No,Yes,No,Yes,No,Male,0,Yes,Yes,No,
159,2019-04-01,,Two year,No,Bank transfer (automatic),25.7,251.6,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,
160,2019-01-01,,Month-to-month,Yes,Electronic check,56.0,764.55,DSL,Yes,Yes,No,No,No,No,Female,0,No,Yes,No,
161,2018-03-01,2019-11-01,Month-to-month,No,Electronic check,82.4,1592.35,Fiber optic,Yes,No,No,No,No,No,Female,0,Yes,No,Yes,
162,2019-12-01,,Month-to-month,Yes,Electronic check,69.7,135.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
163,2015-09-01,,Two year,Yes,Bank transfer (automatic),73.9,3958.25,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,No,No,Yes,
164,2019-03-01,,One year,No,Mailed check,20.6,233.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
165,2014-05-01,,Two year,No,Mailed check,19.9,1363.45,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,
166,2019-07-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
167,2014-02-01,,Two year,Yes,Bank transfer (automatic),89.05,6254.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,
168,2015-03-01,2020-01-01,Month-to-month,Yes,Electronic check,45.3,2651.2,DSL,No,Yes,Yes,No,No,Yes,Male,1,Yes,No,No,
169,2018-10-01,,Month-to-month,No,Electronic check,20.4,321.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
170,2016-07-01,,One year,Yes,Bank transfer (automatic),84.25,3539.25,Fiber optic,Yes,No,Yes,Yes,No,No,Male,0,Yes,No,No,
171,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,104.4,242.8,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,
172,2018-12-01,,Two year,No,Mailed check,81.95,1181.75,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,
173,2015-05-01,2019-10-01,One year,Yes,Bank transfer (automatic),94.85,5000.2,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,No,
174,2017-06-01,,One year,No,Bank transfer (automatic),20.55,654.55,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
175,2017-04-01,,Month-to-month,No,Electronic check,24.7,780.2,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,
176,2018-07-01,2019-10-01,Month-to-month,Yes,Mailed check,74.45,1145.7,Fiber optic,No,No,No,No,No,No,Female,1,No,No,Yes,
177,2019-06-01,2020-01-01,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Fiber optic,Yes,No,No,No,No,No,Female,1,No,No,No,
178,2018-11-01,,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,
179,2015-01-01,,One year,Yes,Credit card (automatic),20.55,1252.0,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,
180,2019-12-01,2020-01-01,Month-to-month,No,Bank transfer (automatic),29.95,29.95,DSL,No,Yes,No,No,No,No,Female,0,No,No,No,
181,2020-01-01,,Month-to-month,No,Mailed check,45.3,45.3,DSL,No,No,No,No,No,No,Female,0,No,No,No,
182,2019-02-01,2019-10-01,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,Yes,
183,2017-05-01,,One year,No,Credit card (automatic),74.75,2453.3,DSL,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,
184,2018-09-01,2019-10-01,Month-to-month,Yes,Electronic check,79.25,1111.65,Fiber optic,No,Yes,Yes,No,No,No,Female,0,No,No,No,
185,2019-10-01,2019-11-01,Month-to-month,Yes,Electronic check,24.8,24.8,DSL,No,No,No,No,No,No,Female,0,Yes,No,No,
186,2018-06-01,,Month-to-month,Yes,Mailed check,51.8,1023.85,DSL,No,Yes,No,No,No,No,Male,0,No,No,No,
187,2019-11-01,,Month-to-month,No,Electronic check,30.4,82.15,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,
188,2019-01-01,,One year,No,Electronic check,19.65,244.8,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
189,2016-10-01,,Month-to-month,No,Credit card (automatic),56.6,2379.1,DSL,No,Yes,No,No,No,No,Female,0,Yes,No,Yes,
